78;88;102;81;84
88;93;93;87;86
73;72;81;81;71
66;65;67;72;72
94;98;100;118;90
28;32;22;25;46
54;50;60;46;48
78;86;82;92;80
16;17;24;18;24
18;27;20;16;36
31;41;33;32;41
93;69;65;72;61
58;76;52;56;48
82;87;77;122;90
16;16;17;16;16
64;68;78;66;72
40;30;35;41;65
104;95;96;97;104
79;78;73;68;103
30;33;27;45;24
83;55;47;51;59
48;58;60;88;53
20;7;47;11;15
57;47;52;87;59
23;32;32;22;24
81;71;76;121;85
91;89;93;103;97
69;67;74;74;68
76;89;84;116;80
50;100;64;60;55
54;67;59;64;99
22;28;28;21;20
54;59;60;49;84
99;64;67;54;59
68;68;72;68;68
39;38;37;44;44
42;32;43;67;37
58;52;76;46;49
32;30;22;50;26
10;17;11;12;17
35;42;34;42;33
72;76;80;108;84
59;62;83;55;51
18;20;16;30;24
58;60;64;56;70
51;48;60;78;54
79;119;69;74;83
52;53;51;61;61
28;44;35;24;26
89;86;76;121;81
98;98;91;90;89
90;95;100;140;104
18;38;22;20;29
59;27;19;24;14
40;34;28;30;26
52;58;55;82;64
52;61;61;53;51
71;95;70;65;60
44;58;46;48;52
41;32;48;36;34
31;32;26;21;56
68;73;63;76;108
92;88;78;128;83
65;41;45;37;47
94;92;100;96;106
52;51;58;58;53
49;46;67;43;53
13;11;9;27;19
86;76;88;81;116
34;62;32;27;22
21;28;42;18;24
94;103;115;97;100
69;79;77;73;97
62;59;66;80;56
24;33;26;33;25
58;50;82;61;54
87;111;75;79;83
81;93;84;111;87
76;80;72;83;104
79;92;84;124;89
23;47;19;11;15
67;42;43;32;37
61;56;64;96;51
48;20;8;18;13
62;32;44;35;38
72;76;80;108;84
33;31;32;41;41
74;102;62;67;72
26;34;28;42;24
77;101;80;85;74
56;52;88;48;61
65;55;68;60;100
37;19;23;29;21
69;37;42;29;33
31;33;29;49;40
91;83;91;82;84
60;60;54;55;53
100;94;88;91;118
91;87;119;95;83
56;58;76;48;52
107;86;79;75;83
27;63;18;13;23
22;16;12;8;10
49;48;57;47;57
42;54;48;45;72
41;76;36;46;48
49;70;42;46;38
61;65;57;85;67
101;94;93;101;95
22;30;19;46;25
21;28;12;14;16
62;70;63;61;70
41;44;37;33;65
47;54;68;44;50
63;56;72;52;54
62;102;52;57;66
43;35;67;31;39
21;32;25;23;41
89;90;96;91;96
96;108;99;102;126
92;95;102;116;98
61;29;21;34;25
57;75;47;55;51
63;57;58;56;63
36;44;34;35;44
15;19;47;26;23
115;91;88;85;97
107;98;101;95;125
18;14;32;8;11
105;81;75;70;80
81;71;121;85;76
34;14;25;18;16
11;22;15;31;13
39;52;47;43;79
88;112;84;80;91
81;79;74;69;109
104;100;140;90;95
84;79;91;77;75
30;40;48;34;32
97;107;115;99;101
45;25;21;17;27
45;39;36;42;57
51;42;43;44;51
76;46;41;48;36
16;6;11;20;56
76;44;36;41;31
57;84;68;63;60
36;32;60;39;28
51;33;37;30;27
52;48;76;44;40
43;27;29;25;35
74;83;72;92;76
23;31;59;35;27
83;79;87;91;115
47;38;27;31;29
89;100;109;91;93
87;75;85;80;115
64;60;56;68;92
91;83;78;123;88
93;133;103;105;98
32;72;27;37;40
93;97;87;90;111
55;47;45;55;46
72;68;78;64;66
67;27;39;32;37
82;75;68;70;66
21;45;18;15;27
62;74;53;56;59
67;91;56;66;61
45;43;41;59;51
71;69;70;77;77
22;14;22;13;12
24;16;15;24;14
43;40;52;46;70
48;24;16;20;12
18;22;36;12;15
31;37;34;55;41
21;49;13;17;25
53;56;60;50;74
77;82;72;117;85
46;40;38;46;39
82;89;78;80;98
58;44;54;94;49
70;100;82;73;76
51;43;33;35;37
6;18;16;46;11
64;94;76;67;70
23;22;22;22;22
41;45;43;61;52
12;22;20;40;16
30;38;22;24;20
62;66;58;54;90
43;41;42;50;50
60;66;65;55;90
31;32;39;30;39
21;39;11;19;15
80;59;64;56;53
68;47;44;41;52
66;73;61;59;57
14;21;21;15;16
53;63;71;55;57
31;24;23;22;31
42;87;52;47;55
78;80;87;79;87
41;35;34;36;41
102;96;105;117;99
101;95;96;101;94
97;99;101;105;111
58;66;61;55;82
21;23;31;22;31
54;54;49;48;47
48;46;62;50;55
46;38;40;54;36
38;41;46;62;35
63;62;62;62;62
77;75;91;79;84
97;96;95;103;103
101;74;83;77;71
52;54;82;42;47
91;98;98;89;90
17;15;33;24;13
52;70;55;49;58
49;37;77;47;42
24;13;16;40;19
101;94;101;93;92
68;92;65;76;71
80;83;86;92;110
42;28;78;38;33
73;75;77;89;82
97;107;98;99;107
24;33;19;69;29
51;62;86;61;56
35;27;35;26;25
23;29;32;26;44
43;45;41;55;49
32;40;31;30;40
81;109;91;89;85
107;83;75;86;79
65;59;89;62;71
73;78;113;85;83
38;56;32;29;26
49;57;41;39;43
24;32;32;25;23
61;69;66;101;56
98;92;88;96;116
65;83;69;62;59
19;55;31;23;27
59;41;31;35;39
79;79;74;73;72
18;7;13;10;34
65;45;49;47;56
22;16;34;19;13
77;81;69;105;73
46;52;67;49;55
72;68;78;66;64
108;94;104;99;144
45;31;33;39;35
95;93;102;91;111
90;114;96;87;84
49;44;42;49;43
78;86;114;82;90
41;20;25;14;17
42;28;30;32;36
75;120;70;80;84
90;86;82;114;93
30;44;38;34;32
59;67;83;62;56
68;56;52;54;61
43;40;58;37;46
59;53;52;54;59
63;59;67;95;71
105;85;87;96;89
88;80;78;88;79
78;106;82;85;74
30;70;25;34;20
81;77;86;93;79
39;37;35;46;55
25;15;43;19;23
88;123;83;78;91
61;53;58;93;48
59;50;59;52;51
46;35;62;41;38
15;39;9;21;12
114;89;84;79;90
75;68;75;67;69
41;37;48;57;39
25;49;17;28;21
77;95;79;81;87
33;23;19;27;21
25;35;31;28;49
39;39;32;34;33
23;11;15;47;19
61;59;77;63;69
66;62;68;58;86
36;76;26;31;40
106;101;122;95;98
37;10;13;16;21
49;70;52;46;56
56;88;52;48;61
58;58;60;58;58
97;97;91;92;90
80;98;84;82;90
72;32;40;37;27
49;58;44;54;94
39;43;49;41;57
25;31;39;21;23
94;86;85;94;87
90;83;79;81;99
76;81;87;111;86
29;31;37;43;33
22;19;28;25;40
54;19;29;24;30
55;52;58;73;61
30;26;23;44;20
36;22;26;30;24
23;13;18;63;27
83;80;77;104;88
71;73;75;81;89
49;37;67;40;43
57;39;36;42;45
93;121;85;97;89
48;51;43;83;38
48;16;12;8;21
32;38;50;29;35
24;16;18;32;14
48;32;41;34;36
24;31;28;52;20
63;70;98;58;68
29;38;31;30;38
44;29;26;23;32
57;22;25;17;12
30;34;42;66;38
100;90;96;93;114
54;50;47;44;68
28;33;39;38;63
56;74;59;62;53
55;64;54;64;56
114;90;96;94;86
53;59;52;51;59
78;77;84;84;79
46;22;21;11;16
30;32;38;34;44
27;27;20;22;21
102;104;97;92;132
60;52;53;60;54
83;84;91;85;91
74;70;66;98;62
27;45;21;17;25
71;79;75;82;103
8;10;12;18;26
96;124;103;100;92
62;69;69;63;64
31;44;41;36;76
31;47;23;26;20
69;67;62;97;57
26;44;20;24;16
79;70;76;73;91
90;100;118;98;94
40;26;28;33;24
63;90;74;69;66
79;76;106;88;82
61;43;40;46;49
31;31;24;23;25
31;71;44;35;39
63;57;49;53;51
82;112;87;77;88
46;28;22;32;25
24;30;27;21;42
45;35;40;48;80
62;97;67;57;69
96;89;91;90;96
52;62;87;57;63
16;11;56;6;20
86;92;80;82;78
76;86;90;126;81
67;61;65;57;85
73;81;75;81;74
60;50;95;55;63
93;88;138;102;98
76;70;80;73;94
110;94;86;83;89
76;84;79;73;100
112;72;77;80;67
29;27;47;31;38
71;47;53;41;44
74;80;77;92;71
75;71;99;79;81
17;20;41;14;25
61;62;86;56;51
80;107;67;71;75
86;82;78;110;89
60;61;59;68;68
29;26;44;23;32
25;23;53;13;18
94;90;86;88;100
77;65;63;70;61
110;100;96;104;98
94;108;99;144;104
37;28;29;37;30
39;15;12;9;21
54;94;62;67;58
92;82;87;122;94
51;53;59;55;65
16;18;23;17;23
85;78;85;77;79
88;60;64;56;52
19;24;64;28;14
22;18;14;54;27
81;76;89;121;86
84;78;75;81;96
17;25;28;21;49
71;83;77;69;73
77;32;27;37;41
75;71;67;78;99
75;77;84;93;73
97;83;88;93;133
36;39;51;30;33
22;14;18;54;27
59;52;54;59;53
68;56;54;62;58
57;58;66;66;56
82;82;85;82;82
19;11;21;15;39
59;66;54;64;94
92;124;103;100;96
79;87;89;107;83
35;26;30;28;42
94;74;70;66;76
42;36;35;34;42
24;29;54;19;30
20;19;44;14;9
86;90;118;94;97
61;61;52;53;54
99;94;102;134;89
83;111;76;81;71
18;17;16;26;26
